0.018789,0.041539,0.080191,0.070048,0.17915,0.085587
0.0090632,0.047056,0.098823,0.069188,0.13655,0.096823
0.0054271,0.042271,0.14696,0.1173,0.10703,0.082448
0.0057168,0.049127,0.080217,0.14854,0.106,0.11403
0.16743,0.026829,0.091627,0.11985,0.18194,0.080941
0.0076148,0.081793,0.17352,0.12429,0.21366,0.093509
0.0071297,0.075607,0.10921,0.15703,0.12076,0.075567
0.0042343,0.052076,0.062643,0.075818,0.12392,0.033602
0.0044647,0.087811,0.032697,0.059136,0.069895,0.037444
0.003654,0.078446,0.023284,0.053185,0.1082,0.040796
0.0058814,0.033537,0.01634,0.056146,0.056824,0.039
0.0071041,0.030943,0.022455,0.039574,0.045733,0.064703
0.004639,0.044831,0.01271,0.029258,0.063085,0.035807
